;;;;;;;;;;;;;;
FECHA;TAREA;SUPERVISOR;OPERADOR;REFERENCIA;ESTADO_FENOLOGICO;FRANJA;LOTE;CUARTEL;CALLE;HAS_CALLE;AGUA;TAREA_DETALLE;PRODUCTO;CANTIDAD
7/06/2023;30;;;;;;20;C-1;25-36;1.333;2000;30;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;30;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;31;;;;;;20;C-1;37-48;1.333;2000;31;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;31;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;32;;;;;;20;C-1;49-60;1.333;2000;32;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;32;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;33;;;;;;20;C-1;61-72;1.333;2000;33;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;33;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;34;;;;;;20;C-1;73-84;1.333;2000;34;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;34;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;35;;;;;;20;C-1;85-93;1.289;1933;35;THIAMETHOXAM VIVORAL 25 WG;1.16
;;;;;;;;;;;;35;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.15
7/06/2023;36;;;;;;20;C-2;1-14;1.333;2000;36;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;36;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;37;;;;;;20;C-2;15-28;1.333;2000;37;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;37;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;38;;;;;;20;C-2;29-42;1.333;2000;38;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;38;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;39;;;;;;20;C-2;43-56;1.333;2000;39;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;39;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;40;;;;;;20;C-2;57-71;1.333;2000;40;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;40;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;41;;;;;;20;C-2;72-86;1.333;2000;41;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;41;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;42;;;;;;20;C-2;87-93;0.622;930;42;THIAMETHOXAM VIVORAL 25 WG;0.56
;;;;;;;;;;;;42;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.07
7/06/2023;43;;;;;;20;C-3;1-11;0.711;1070;43;THIAMETHOXAM VIVORAL 25 WG;0.64
;;;;;;;;;;;;43;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.09
7/06/2023;44;;;;;;20;C-3;12-21;1.333;2000;44;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;44;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;45;;;;;;20;C-3;22-35;1.333;2000;45;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;45;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;46;;;;;;20;C-3;36-49;1.333;2000;46;THIAMETHOXAM VIVORAL 25 WG;1.2
