ID;FENOLOGIA
232;BROTE 27.5 CM
233;BROTE 27.6 CM
234;BROTE 27.7 CM
235;BROTE 27.8 CM
236;BROTE 27.9 CM
237;BROTE 28 CM
238;BROTE 28.1 CM
239;BROTE 28.2 CM
240;BROTE 28.3 CM
241;BROTE 28.4 CM
242;BROTE 28.5 CM
243;BROTE 28.6 CM
244;BROTE 28.7 CM
245;BROTE 28.8 CM
246;BROTE 28.9 CM
247;BROTE 29 CM
248;BROTE 29.1 CM
249;BROTE 29.2 CM
250;BROTE 29.3 CM
251;BROTE 29.4 CM
252;BROTE 29.5 CM
253;BROTE 29.6 CM
254;BROTE 29.7 CM
255;BROTE 29.8 CM
256;BROTE 29.9 CM
257;BROTE 30 CM
258;BROTE 30.1 CM
259;BROTE 30.2 CM
260;BROTE 30.3 CM
261;BROTE 30.4 CM
262;BROTE 30.5 CM
263;BROTE 30.6 CM
264;BROTE 30.7 CM
265;BROTE 30.8 CM
266;BROTE 30.9 CM
267;BROTE 31 CM
268;BROTE 31.1 CM
269;BROTE 31.2 CM
270;BROTE 31.3 CM
271;BROTE 31.4 CM
272;BROTE 31.5 CM
273;BROTE 31.6 CM
274;BROTE 31.7 CM
275;BROTE 31.8 CM
276;BROTE 31.9 CM
277;BROTE 32 CM
278;BROTE 32.1 CM
279;BROTE 32.2 CM
280;BROTE 32.3 CM
281;BROTE 32.4 CM
282;BROTE 32.5 CM
283;BROTE 32.6 CM
284;BROTE 32.7 CM
285;BROTE 32.8 CM
286;BROTE 32.9 CM
287;BROTE 33 CM
288;BROTE 33.1 CM
289;BROTE 33.2 CM
290;BROTE 33.3 CM
291;BROTE 33.4 CM
292;BROTE 33.5 CM
293;BROTE 33.6 CM
294;BROTE 33.7 CM
295;BROTE 33.8 CM
296;BROTE 33.9 CM
297;BROTE 34 CM
298;BROTE 34.1 CM
299;BROTE 34.2 CM
300;BROTE 34.3 CM
301;BROTE 34.4 CM
302;BROTE 34.5 CM
303;BROTE 34.6 CM
304;BROTE 34.7 CM
305;BROTE 34.8 CM
306;BROTE 34.9 CM
307;BROTE 35 CM
308;BROTE 35.1 CM
309;BROTE 35.2 CM
310;BROTE 35.3 CM
311;BROTE 35.4 CM
312;BROTE 35.5 CM
313;BROTE 35.6 CM
314;BROTE 35.7 CM
315;BROTE 35.8 CM
316;BROTE 35.9 CM
317;BROTE 36 CM
318;BROTE 36.1 CM
319;BROTE 36.2 CM
320;BROTE 36.3 CM
321;BROTE 36.4 CM
322;BROTE 36.5 CM
323;BROTE 36.6 CM
324;BROTE 36.7 CM
325;BROTE 36.8 CM
326;BROTE 36.9 CM
327;BROTE 37 CM
328;BROTE 37.1 CM
329;BROTE 37.2 CM
330;BROTE 37.3 CM
331;BROTE 37.4 CM
332;BROTE 37.5 CM
333;BROTE 37.6 CM
334;BROTE 37.7 CM
335;BROTE 37.8 CM
336;BROTE 37.9 CM
337;BROTE 38 CM
338;BROTE 38.1 CM
339;BROTE 38.2 CM
340;BROTE 38.3 CM
341;BROTE 38.4 CM
342;BROTE 38.5 CM
343;BROTE 38.6 CM
344;BROTE 38.7 CM
345;BROTE 38.8 CM
346;BROTE 38.9 CM
347;BROTE 39 CM
348;BROTE 39.1 CM
349;BROTE 39.2 CM
350;BROTE 39.3 CM
351;BROTE 39.4 CM
352;BROTE 39.5 CM
353;BROTE 39.6 CM
354;BROTE 39.7 CM
355;BROTE 39.8 CM
356;BROTE 39.9 CM
357;BROTE 40 CM
358;BROTE 40.1 CM
359;BROTE 40.2 CM
360;BROTE 40.3 CM
361;BROTE 40.4 CM
362;BROTE 40.5 CM
363;BROTE 40.6 CM
364;BROTE 40.7 CM
365;BROTE 40.8 CM
366;BROTE 40.9 CM
367;BROTE 41 CM
368;BROTE 41.1 CM
369;BROTE 41.2 CM
370;BROTE 41.3 CM
371;BROTE 41.4 CM
372;BROTE 41.5 CM
373;BROTE 41.6 CM
374;BROTE 41.7 CM
375;BROTE 41.8 CM
376;BROTE 41.9 CM
377;BROTE 42 CM
378;BROTE 42.1 CM
379;BROTE 42.2 CM
380;BROTE 42.3 CM
381;BROTE 42.4 CM
382;BROTE 42.5 CM
383;BROTE 42.6 CM
384;BROTE 42.7 CM
385;BROTE 42.8 CM
386;BROTE 42.9 CM
387;BROTE 43 CM
388;BROTE 43.1 CM
389;BROTE 43.2 CM
390;BROTE 43.3 CM
391;BROTE 43.4 CM
392;BROTE 43.5 CM
393;BROTE 43.6 CM
394;BROTE 43.7 CM
395;BROTE 43.8 CM
396;BROTE 43.9 CM
397;BROTE 44 CM
398;BROTE 44.1 CM
399;BROTE 44.2 CM
400;BROTE 44.3 CM
401;BROTE 44.4 CM
402;BROTE 44.5 CM
403;BROTE 44.6 CM
404;BROTE 44.7 CM
405;BROTE 44.8 CM
406;BROTE 44.9 CM
407;BROTE 45 CM
408;BROTE 45.1 CM
409;BROTE 45.2 CM
410;BROTE 45.3 CM
411;BROTE 45.4 CM
412;BROTE 45.5 CM
413;BROTE 45.6 CM
414;BROTE 45.7 CM
415;BROTE 45.4 CM
416;BROTE 45.8 CM
417;BROTE 45.9 CM
418;BROTE 46 CM
419;BROTE 46.1 CM
420;BROTE 46.2 CM
421;BROTE 46.3 CM
422;BROTE 46.4 CM
423;BROTE 46.5 CM
424;BROTE 46.6 CM
425;BROTE 46.7 CM
426;BROTE 46.8 CM
427;BROTE 46.9 CM
428;BROTE 47 CM
429;BROTE 47.1 CM
430;BROTE 47.2 CM
431;BROTE 47.3 CM
432;BROTE 47.4 CM
433;BROTE 47.5 CM
434;BROTE 47.6 CM
435;BROTE 47.7 CM
436;BROTE 47.8 CM
437;BROTE 47.9 CM
438;BROTE 48 CM
439;BROTE 48.1 CM
440;BROTE 48.2 CM
441;BROTE 48.3 CM
442;BROTE 48.4 CM
443;BROTE 48.5 CM
444;BROTE 48.6 CM
445;BROTE 48.7 CM
446;BROTE 48.8 CM
447;BROTE 48.9 CM
448;BROTE 49 CM
449;BROTE 49.1 CM
450;BROTE 49.2 CM
451;BROTE 49.3 CM
452;BROTE 49.4 CM
453;BROTE 49.5 CM
454;BROTE 49.6 CM
455;BROTE 49.7 CM
456;BROTE 49.8 CM
457;BROTE 49.9 CM
458;BROTE 50 CM
459;BROTE 50.1 CM
460;BROTE 50.2 CM
461;BROTE 50.3 CM
462;BROTE 50.4 CM
463;BROTE 50.5 CM
464;BROTE 50.6 CM
465;BROTE 50.7 CM
466;BROTE 50.8 CM
467;BROTE 50.9 CM
468;BROTE 51 CM
469;BROTE 51.1 CM
470;BROTE 51.2 CM
471;BROTE 51.3 CM
472;BROTE 51.4 CM
473;BROTE 51.5 CM
474;BROTE 51.6 CM
475;BROTE 51.7 CM
476;BROTE 51.8 CM
477;BROTE 51.9 CM
478;BROTE 52 CM
479;BROTE 52.1 CM
480;BROTE 52.2 CM
481;BROTE 52.3 CM
482;BROTE 52.4 CM
483;BROTE 52.5 CM
484;BROTE 52.6 CM
485;BROTE 52.7 CM
486;BROTE 52.8 CM
487;BROTE 52.9 CM
488;BROTE 53 CM
489;BROTE 53.1 CM
490;BROTE 53.2 CM
491;BROTE 53.3 CM
492;BROTE 53.4 CM
493;BROTE 53.5 CM
494;BROTE 53.6 CM
495;BROTE 53.7 CM
496;BROTE 53.8 CM
497;BROTE 53.9 CM
498;BROTE 54 CM
499;BROTE 54.1 CM
500;BROTE 54.2 CM
501;BROTE 54.3 CM
502;BROTE 54.4 CM
503;BROTE 54.5 CM
504;BROTE 54.6 CM
505;BROTE 54.7 CM
506;BROTE 54.8 CM
507;BROTE 54.9 CM
508;BROTE 55 CM
509;BROTE 55.1 CM
510;BROTE 55.2 CM
511;BROTE 55.3 CM
512;BROTE 55.4 CM
513;BROTE 55.5 CM
514;BROTE 55.6 CM
515;BROTE 55.7 CM
516;BROTE 55.8 CM
517;BROTE 55.9 CM
518;BROTE 56 CM
519;BROTE 56.1 CM
520;BROTE 56.2 CM
